Sample	Gene	Impact	CNV
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	ZNF469	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	ZNF266	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	ZNF728	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	MAFB	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	SPO11	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	PCNT	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	MAGEB16	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	SMC1A	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	SMARCA1	HIGH	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	TREX2	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	HCFC1	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	ADGRV1	HIGH	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	BOP1	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	FANCA	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	SDK2	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	TENM4	HIGH	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	ZC3H3	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	GPR75	HIGH	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	FIGN	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	GAL3ST2	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	GALNT7	MODERATE	2.0
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	SH3TC2	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	ATP6V1C1	HIGH	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	TLE1	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	AUH	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	ITIH5	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	C10orf71	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	CHST15	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	GIF	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	ASB2	HIGH	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	DYNC1H1	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	MAGEL2	HIGH	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	ZNF469	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	ZNF266	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	ZNF728	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	MAFB	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	SPO11	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	PCNT	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	MAGEB16	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	SMC1A	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	SMARCA1	HIGH	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	TREX2	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	HCFC1	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	ADGRV1	HIGH	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	BOP1	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	DNAH11	MODERATE	
PM1232-Z4-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	FANCA	MODERATE	
